sub_id, sub_sex, sub_age, gain_color, block_id, trial_id, gain_on_left, gamble_duration, gambles, sure_reward, choose_sure, reaction_time
18111001,0,20,b,-1,80,0,1.5,[5 -1;1 -4;4 -7;5 -2;9 -4;3 -8;7 -2;],[0;-1;-5;5;9;-6;0;],0,1.057
18111001,0,20,b,-2,171,0,1.5,[9 -5;7 -8;9 -9;8 -8;5 -2;2 -7;9 -7;],[4;1;0;1;5;-1;0;],0,0.990
18111001,0,20,b,-2,257,1,1.5,[6 -1;],[1;],0,1.629
18111001,0,20,b,1,1,0,1.5,[8 -1;4 -8;7 -1;6 -2;1 -3;8 -6;6 -7;],[9;-2;2;-6;9;9;1;],NaN,NaN
18111001,0,20,b,1,2,1,1.5,[4 -1;5 -1;],[5;-1;],0,0.917
18111001,0,20,b,1,3,1,1.5,[9 -4;8 -9;7 -4;9 -9;6 -8;4 -3;1 -6;],[-3;6;-4;1;1;-2;1;],1,0.522
18111001,0,20,b,1,4,1,1.5,[2 -5;5 -1;2 -4;8 -9;6 -1;7 -9;8 -1;],[7;2;-3;9;-8;3;1;],0,0.883
18111001,0,20,b,1,5,1,1.5,[7 -3;],[-2;],0,1.084
18111001,0,20,b,1,6,0,1.5,[2 -7;8 -6;6 -6;3 -3;9 -3;],[4;5;-6;-2;2;],0,0.695
18111001,0,20,b,1,7,0,1.5,[3 -8;7 -4;8 -8;3 -9;5 -4;6 -8;2 -2;],[-9;-8;-3;-1;6;7;-1;],0,0.873
18111001,0,20,b,1,8,0,1.5,[5 -2;],[-1;],0,1.036
18111001,0,20,b,1,9,1,1.5,[8 -5;8 -6;6 -2;9 -9;7 -7;7 -6;4 -5;],[0;-6;-5;-3;2;3;-1;],0,1.368
18111001,0,20,b,1,10,0,1.5,[1 -5;4 -3;3 -3;3 -4;1 -8;9 -7;7 -8;],[5;3;-2;-6;-5;0;1;],1,0.511
18111001,0,20,b,1,11,0,1.5,[3 -5;5 -7;2 -8;8 -5;6 -6;3 -1;3 -8;],[5;0;-4;3;-2;-7;1;],1,0.855
18111001,0,20,b,1,12,1,1.5,[3 -2;8 -7;2 -1;5 -4;4 -9;2 -3;5 -9;],[0;-2;6;0;3;-1;-1;],1,1.276
18111001,0,20,b,1,13,1,1.5,[7 -4;4 -6;3 -2;6 -7;1 -1;8 -4;9 -6;],[5;3;-2;-2;1;1;-2;],0,1.007
18111001,0,20,b,1,14,0,1.5,[2 -5;6 -2;7 -5;9 -1;2 -1;6 -9;6 -8;],[6;6;8;-2;6;-2;-1;],1,0.924
18111001,0,20,b,1,15,0,1.5,[7 -6;1 -7;4 -7;2 -7;4 -9;7 -5;4 -3;],[8;5;-2;1;3;-2;-1;],0,1.036
18111001,0,20,b,1,16,1,1.5,[5 -5;8 -2;3 -9;],[-1;1;2;],1,0.560
18111001,0,20,b,1,17,0,1.5,[2 -4;9 -5;6 -2;8 -4;2 -2;9 -8;4 -3;],[1;2;-9;-3;-5;5;0;],1,1.095
18111001,0,20,b,1,18,1,1.5,[1 -7;7 -8;8 -4;1 -2;3 -4;3 -7;3 -3;],[4;2;5;1;2;1;-1;],0,0.778
18111001,0,20,b,1,19,0,1.5,[9 -7;9 -4;7 -1;7 -8;9 -3;6 -3;2 -2;],[7;7;0;-5;-4;-2;-1;],1,1.288
18111001,0,20,b,1,20,1,1.5,[9 -6;5 -3;4 -6;4 -2;8 -4;2 -3;1 -2;],[-3;3;-7;-5;2;5;-2;],0,1.090
18111001,0,20,b,1,21,1,1.5,[2 -4;],[2;],1,0.701
18111001,0,20,b,1,22,1,1.5,[3 -7;7 -9;9 -8;1 -1;5 -3;5 -7;8 -1;],[2;-6;0;-4;2;7;-2;],0,0.750
18111001,0,20,b,1,23,1,1.5,[1 -6;9 -2;2 -3;],[8;5;-1;],0,1.302
18111001,0,20,b,1,24,0,1.5,[4 -3;6 -5;2 -5;3 -7;4 -4;1 -9;],[-1;1;2;-4;9;2;],1,-1.000
18111001,0,20,b,1,25,0,1.5,[9 -4;1 -7;9 -6;1 -5;5 -1;2 -5;1 -6;],[-3;2;-1;-1;-3;-4;2;],1,0.704
18111001,0,20,b,1,26,0,1.5,[5 -9;7 -9;3 -1;3 -6;],[0;2;3;0;],1,0.614
18111001,0,20,b,1,27,0,1.5,[1 -3;1 -5;5 -1;9 -7;6 -8;3 -9;6 -7;],[-7;-2;6;-5;0;-3;-1;],1,1.123
18111001,0,20,b,1,28,0,1.5,[1 -2;6 -2;9 -7;3 -3;6 -5;5 -4;8 -6;],[-1;1;9;5;6;3;0;],1,1.043
18111001,0,20,b,1,29,1,1.5,[2 -9;8 -4;9 -5;5 -3;8 -7;1 -7;6 -1;],[-3;0;-7;-5;-3;6;-1;],0,0.999
18111001,0,20,b,1,30,1,1.5,[6 -5;7 -2;9 -8;3 -4;5 -8;2 -8;1 -4;],[-6;3;-1;2;0;4;-1;],0,1.237
18111001,0,20,b,1,31,0,1.5,[7 -8;2 -2;1 -7;],[-7;-4;1;],1,0.768
18111001,0,20,b,1,32,1,1.5,[4 -8;5 -7;8 -5;6 -3;6 -9;1 -4;7 -7;],[-9;4;-6;-7;9;-2;-1;],1,1.400
18111001,0,20,b,1,33,0,1.5,[8 -5;3 -2;6 -8;7 -7;4 -4;1 -3;2 -5;],[4;-6;-5;5;9;-4;2;],1,1.110
18111001,0,20,b,1,34,1,1.5,[5 -7;5 -9;3 -7;7 -3;1 -4;4 -3;8 -9;],[-5;-3;-2;8;2;0;1;],1,0.959
18111001,0,20,b,1,35,1,1.5,[9 -9;9 -2;1 -5;8 -4;5 -5;1 -1;7 -1;],[-4;1;6;-3;3;3;-1;],0,0.950
18111001,0,20,b,1,36,0,1.5,[6 -1;1 -3;8 -1;3 -1;8 -6;3 -4;1 -8;],[8;1;-2;5;-3;-6;-1;],1,0.934
18111001,0,20,b,1,37,0,1.5,[2 -8;6 -8;5 -9;8 -8;1 -1;9 -1;7 -4;],[5;-1;-4;0;-1;2;1;],1,0.694
18111001,0,20,b,1,38,1,1.5,[7 -2;8 -9;2 -8;4 -9;6 -4;6 -9;9 -4;],[3;6;1;5;1;9;-1;],1,1.223
18111001,0,20,b,1,39,0,1.5,[2 -7;5 -9;7 -4;8 -2;5 -7;8 -5;4 -2;],[-4;-4;3;2;0;-1;2;],1,0.477
18111001,0,20,b,1,40,1,1.5,[8 -4;7 -7;2 -3;3 -9;1 -6;9 -2;8 -2;],[-1;8;4;1;-6;-4;0;],0,0.815
18111001,0,20,b,1,41,0,1.5,[5 -3;4 -3;2 -8;5 -7;6 -2;7 -1;9 -2;],[1;7;1;-9;-7;0;-2;],0,0.525
18111001,0,20,b,1,42,1,1.5,[3 -9;3 -4;8 -1;4 -5;9 -4;4 -9;9 -6;],[-1;-4;-3;0;0;1;0;],0,1.213
18111001,0,20,b,1,43,1,1.5,[3 -4;6 -9;8 -6;8 -5;4 -5;1 -2;2 -8;],[-1;-1;3;-3;2;-3;1;],1,0.882
18111001,0,20,b,1,44,0,1.5,[2 -5;6 -5;],[1;-1;],1,0.969
18111001,0,20,b,1,45,1,1.5,[4 -5;3 -2;9 -9;2 -9;3 -8;6 -3;7 -4;],[-3;2;-3;2;-2;-7;1;],1,0.479
18111001,0,20,b,1,46,1,1.5,[8 -3;7 -7;4 -7;8 -8;9 -1;3 -3;1 -4;],[-7;2;-5;5;2;1;-2;],1,1.114
18111001,0,20,b,1,47,1,1.5,[1 -5;7 -5;2 -9;9 -7;2 -8;4 -6;2 -7;],[6;7;5;4;1;9;-2;],1,1.051
18111001,0,20,b,1,48,0,1.5,[5 -3;1 -4;3 -1;3 -8;6 -5;1 -2;2 -8;7 -1;9 -4;],[5;-8;7;1;3;-8;4;5;1;],0,1.406
18111001,0,20,b,1,49,1,1.5,[6 -1;3 -8;6 -7;9 -6;2 -2;7 -8;4 -2;],[-5;-1;-3;6;-7;1;2;],1,0.492
18111001,0,20,b,1,50,0,1.5,[2 -5;5 -9;2 -4;2 -2;5 -3;4 -5;6 -4;1 -5;4 -2;],[-6;-4;1;-3;-1;1;-4;-3;0;],0,0.998
18111001,0,20,b,1,51,1,1.5,[5 -2;1 -7;7 -4;1 -3;4 -7;7 -6;5 -6;],[5;-1;1;2;2;1;1;],1,0.507
18111001,0,20,b,1,52,1,1.5,[7 -9;8 -2;7 -1;5 -1;4 -5;3 -4;3 -9;],[-2;-2;-8;7;1;-3;-2;],1,1.460
18111001,0,20,b,1,53,0,1.5,[7 -4;8 -2;8 -7;4 -9;4 -4;1 -8;6 -5;],[5;6;7;2;4;-3;0;],1,1.543
